  release  -  production
2022-01-10 - 2025-04-23  🏷️ GL00000425031__2  - mbom 2022-01-20, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-10 - 2025-04-23  🏷️ GL00000425031__3  - mbom 2022-01-20, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-17 - 2025-04-23  🏷️ GL00000512699__1  - mbom 2022-01-27, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-17 - 2025-04-23  🏷️ GL00000512699__2  - mbom 2022-01-27, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-17 - 2025-04-23  🏷️ GL00000512699__3  - mbom 2022-01-27, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-17 - 2025-04-23  🏷️ GL00001341548__1  - mbom 2022-01-27, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-17 - 2025-04-23  🏷️ GL00001341548__2  - mbom 2022-01-27, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-17 - 2025-04-23  🏷️ GL00001341548__3  - mbom 2022-01-27, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-18 - 2025-03-25  🏷️ GL00000472382__1  - mbom 2022-01-28, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-01-18 - 2025-03-25  🏷️ GL00000472382__2  - mbom 2022-01-28, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-01-18 - 2025-03-25  🏷️ GL00000472382__3  - mbom 2022-01-28, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-01-20 - 2025-04-23  🏷️ GL000001294404__1  - mbom 2022-01-30, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-20 - 2025-04-23  🏷️ GL000001294404__2  - mbom 2022-01-30, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-20 - 2025-04-23  🏷️ GL000001294404__3  - mbom 2022-01-30, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-20 - 2025-04-23  🏷️ GL000001341548__1  - mbom 2022-01-30, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-20 - 2025-04-23  🏷️ GL000001341548__2  - mbom 2022-01-30, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-20 - 2025-04-23  🏷️ GL000001341548__3  - mbom 2022-01-30, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-21 - 2025-04-23  🏷️ GL00001338447__1  - mbom 2022-01-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-21 - 2025-04-23  🏷️ GL00001338447__2  - mbom 2022-01-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-21 - 2025-04-23  🏷️ GL00001338447__3  - mbom 2022-01-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-02-23  🏷️ GL00001338196__1  - mbom 2022-02-05, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-01-26 - 2025-02-23  🏷️ GL00001338196__2  - mbom 2022-02-05, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-01-26 - 2025-02-23  🏷️ GL00001338196__3  - mbom 2022-02-05, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-01-26 - 2025-04-23  🏷️ DT00000903253__1  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ DT00000903253__2  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ DT00000903253__3  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ GL00000539334__1  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ GL00000539334__2  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ GL00000539334__3  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ GL00001337675__1  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ GL00001337675__2  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-26 - 2025-04-23  🏷️ GL00001337675__3  - mbom 2022-02-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-31 - 2025-04-23  🏷️ GL00001447229__1  - mbom 2022-02-10, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-01-31 - 2025-04-23  🏷️ GL00001447229__2  - mbom 2022-02-10, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
